2026-06-04 05:46:39 status config-files linux-modules-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:39 status not-installed linux-modules-7.0.0-22-generic:amd64 <none>
2026-06-04 05:46:39 purge linux-main-modules-zfs-7.0.0-22-generic:amd64 7.0.0-22.22 <none>
2026-06-04 05:46:39 status config-files linux-main-modules-zfs-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:39 status not-installed linux-main-modules-zfs-7.0.0-22-generic:amd64 <none>
2026-06-04 05:46:39 purge linux-image-7.0.0-22-generic:amd64 7.0.0-22.22 <none>
2026-06-04 05:46:39 status config-files linux-image-7.0.0-22-generic:amd64 7.0.0-22.22
2026-06-04 05:46:39 status not-installed linux-image-7.0.0-22-generic:amd64 <none>
2026-06-04 05:46:39 startup packages configure
2026-06-04 05:53:37 startup archives unpack
2026-06-04 05:53:37 install iucode-tool:amd64 <none> 2.3.1-3build2
2026-06-04 05:53:37 status half-installed iucode-tool:amd64 2.3.1-3build2
2026-06-04 05:53:37 status triggers-pending man-db:amd64 2.13.1-1build1
2026-06-04 05:53:37 status unpacked iucode-tool:amd64 2.3.1-3build2
2026-06-04 05:53:37 install linux-modules-7.0.0-1006-aws:amd64 <none> 7.0.0-1006.6
2026-06-04 05:53:37 status half-installed linux-modules-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:39 status unpacked linux-modules-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:39 install linux-image-7.0.0-1006-aws:amd64 <none> 7.0.0-1006.6
2026-06-04 05:53:39 status half-installed linux-image-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:40 status unpacked linux-image-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:40 install linux-main-modules-zfs-7.0.0-1006-aws:amd64 <none> 7.0.0-1006.6
2026-06-04 05:53:40 status half-installed linux-main-modules-zfs-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:40 status unpacked linux-main-modules-zfs-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:40 install amd64-microcode:amd64 <none> 3.20251202.1ubuntu2
2026-06-04 05:53:40 status half-installed amd64-microcode:amd64 3.20251202.1ubuntu2
2026-06-04 05:53:40 status unpacked amd64-microcode:amd64 3.20251202.1ubuntu2
2026-06-04 05:53:40 install intel-microcode:amd64 <none> 3.20260210.1ubuntu2
2026-06-04 05:53:40 status half-installed intel-microcode:amd64 3.20260210.1ubuntu2
2026-06-04 05:53:40 status unpacked intel-microcode:amd64 3.20260210.1ubuntu2
2026-06-04 05:53:40 install microcode-initrd:amd64 <none> 4ubuntu
2026-06-04 05:53:40 status half-installed microcode-initrd:amd64 4ubuntu
2026-06-04 05:53:40 status unpacked microcode-initrd:amd64 4ubuntu
2026-06-04 05:53:40 install linux-image-aws:amd64 <none> 7.0.0-1006.6
2026-06-04 05:53:40 status half-installed linux-image-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:40 status unpacked linux-image-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:40 install linux-aws-headers-7.0.0-1006:all <none> 7.0.0-1006.6
2026-06-04 05:53:40 status half-installed linux-aws-headers-7.0.0-1006:all 7.0.0-1006.6
2026-06-04 05:53:45 status unpacked linux-aws-headers-7.0.0-1006:all 7.0.0-1006.6
2026-06-04 05:53:45 install linux-headers-7.0.0-1006-aws:amd64 <none> 7.0.0-1006.6
2026-06-04 05:53:45 status half-installed linux-headers-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:47 status unpacked linux-headers-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:47 install linux-headers-aws:amd64 <none> 7.0.0-1006.6
2026-06-04 05:53:47 status half-installed linux-headers-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:47 status unpacked linux-headers-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:47 install linux-aws:amd64 <none> 7.0.0-1006.6
2026-06-04 05:53:47 status half-installed linux-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:47 status unpacked linux-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:47 install linux-tools-common:all <none> 7.0.0-22.22
2026-06-04 05:53:47 status half-installed linux-tools-common:all 7.0.0-22.22
2026-06-04 05:53:47 status unpacked linux-tools-common:all 7.0.0-22.22
2026-06-04 05:53:47 install linux-aws-tools-7.0.0-1006:amd64 <none> 7.0.0-1006.6
2026-06-04 05:53:47 status half-installed linux-aws-tools-7.0.0-1006:amd64 7.0.0-1006.6
2026-06-04 05:53:47 status unpacked linux-aws-tools-7.0.0-1006:amd64 7.0.0-1006.6
2026-06-04 05:53:47 install linux-perf:amd64 <none> 7.0.0-22.22
2026-06-04 05:53:47 status half-installed linux-perf:amd64 7.0.0-22.22
2026-06-04 05:53:47 status unpacked linux-perf:amd64 7.0.0-22.22
2026-06-04 05:53:47 install linux-tools-7.0.0-1006-aws:amd64 <none> 7.0.0-1006.6
2026-06-04 05:53:47 status half-installed linux-tools-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:47 status unpacked linux-tools-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:47 startup packages configure
2026-06-04 05:53:47 configure iucode-tool:amd64 2.3.1-3build2 <none>
2026-06-04 05:53:47 status unpacked iucode-tool:amd64 2.3.1-3build2
2026-06-04 05:53:47 status half-configured iucode-tool:amd64 2.3.1-3build2
2026-06-04 05:53:47 status installed iucode-tool:amd64 2.3.1-3build2
2026-06-04 05:53:47 configure intel-microcode:amd64 3.20260210.1ubuntu2 <none>
2026-06-04 05:53:47 status unpacked intel-microcode:amd64 3.20260210.1ubuntu2
2026-06-04 05:53:47 status half-configured intel-microcode:amd64 3.20260210.1ubuntu2
2026-06-04 05:53:47 status installed intel-microcode:amd64 3.20260210.1ubuntu2
2026-06-04 05:53:47 status triggers-pending dracut:all 110-11
2026-06-04 05:53:47 configure amd64-microcode:amd64 3.20251202.1ubuntu2 <none>
2026-06-04 05:53:47 status unpacked amd64-microcode:amd64 3.20251202.1ubuntu2
2026-06-04 05:53:47 status half-configured amd64-microcode:amd64 3.20251202.1ubuntu2
2026-06-04 05:53:47 status installed amd64-microcode:amd64 3.20251202.1ubuntu2
2026-06-04 05:53:47 configure linux-perf:amd64 7.0.0-22.22 <none>
2026-06-04 05:53:47 status unpacked linux-perf:amd64 7.0.0-22.22
2026-06-04 05:53:47 status half-configured linux-perf:amd64 7.0.0-22.22
2026-06-04 05:53:47 status installed linux-perf:amd64 7.0.0-22.22
2026-06-04 05:53:47 configure microcode-initrd:amd64 4ubuntu <none>
2026-06-04 05:53:47 status unpacked microcode-initrd:amd64 4ubuntu
2026-06-04 05:53:47 status half-configured microcode-initrd:amd64 4ubuntu
2026-06-04 05:53:48 status installed microcode-initrd:amd64 4ubuntu
2026-06-04 05:53:48 configure linux-aws-headers-7.0.0-1006:all 7.0.0-1006.6 <none>
2026-06-04 05:53:48 status unpacked linux-aws-headers-7.0.0-1006:all 7.0.0-1006.6
2026-06-04 05:53:48 status half-configured linux-aws-headers-7.0.0-1006:all 7.0.0-1006.6
2026-06-04 05:53:48 status installed linux-aws-headers-7.0.0-1006:all 7.0.0-1006.6
2026-06-04 05:53:48 configure linux-tools-common:all 7.0.0-22.22 <none>
2026-06-04 05:53:48 status unpacked linux-tools-common:all 7.0.0-22.22
2026-06-04 05:53:48 status half-configured linux-tools-common:all 7.0.0-22.22
2026-06-04 05:53:48 status installed linux-tools-common:all 7.0.0-22.22
2026-06-04 05:53:48 configure linux-headers-7.0.0-1006-aws:amd64 7.0.0-1006.6 <none>
2026-06-04 05:53:48 status unpacked linux-headers-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:48 status half-configured linux-headers-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:48 status installed linux-headers-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:48 configure linux-aws-tools-7.0.0-1006:amd64 7.0.0-1006.6 <none>
2026-06-04 05:53:48 status unpacked linux-aws-tools-7.0.0-1006:amd64 7.0.0-1006.6
2026-06-04 05:53:48 status half-configured linux-aws-tools-7.0.0-1006:amd64 7.0.0-1006.6
2026-06-04 05:53:48 status installed linux-aws-tools-7.0.0-1006:amd64 7.0.0-1006.6
2026-06-04 05:53:48 configure linux-tools-7.0.0-1006-aws:amd64 7.0.0-1006.6 <none>
2026-06-04 05:53:48 status unpacked linux-tools-7.0.0-1006-aws:amd64 7.0.0-1006.6
